#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
0,99,4969.203981,0
0,109,4971.067066,0
0,89,4972.672169,0
0,71,4974.116214,0
0,81,4975.018171,0
0,76,4976.469959,0
0,66,4977.156196,0
0,92,4978.824018,0
0,58,4979.543099,0
0,83,4981.072487,0
0,71,4982.512936,0
0,105,4983.705191,0
0,85,4985.17902,0
0,90,4986.770557,0
0,95,4988.463592,0
0,137,4990.589697,0
0,88,4991.599367,0
0,59,4992.777815,0
0,94,4994.436243,0
0,68,4995.189774,0
0,107,4996.984265,0
0,95,4998.631813,0
0,105,4999.830175,0
0,65,5001.172254,0
0,56,5001.835381,0
0,96,5003.461519,0
0,94,5005.098033,0
0,96,5006.80198,0
0,74,5007.649423,0
0,77,5009.037756,0
0,57,5009.66618,0
0,49,5010.74235,0
0,99,5011.836806,0
0,103,5013.557164,0
0,86,5015.121123,0
0,84,5016.656641,0
0,61,5017.356494,0
0,91,5018.89674,0
0,65,5019.647097,0
0,73,5021.001986,0
0,126,5023.01205,0
0,106,5024.800815,0
0,52,5025.398755,0
101,1009,5221.98606,101
63,1136,5237.693067,63
32,392,5242.936389,32
136,1459,5264.758147,136
125,1392,5286.370251,125
114,366,5292.149003,114
143,1126,5309.701415,143
90,520,5317.674095,90
122,609,5327.138734,122
101,515,5335.084953,101
148,1358,5355.686011,148
108,454,5362.943061,108
104,696,5373.763793,104
171,1742,5401.162713,171
87,239,5405.080788,87
138,571,5413.829431,138
43,334,5419.412196,43
124,1056,5435.523082,124
0,89,5437.13333,0
0,81,5438.068376,0
0,83,5439.582695,0
0,85,5441.080115,0
0,89,5442.071519,0
0,57,5443.254583,0
0,64,5444.022898,0
0,59,5445.22666,0
0,106,5447.021726,0
0,163,5449.382442,0
0,74,5450.258919,0
0,57,5451.459017,0
0,90,5453.087781,0
0,74,5453.910924,0
0,72,5455.276707,0
0,84,5456.223855,0
0,74,5457.567128,0
0,73,5458.987969,0
0,65,5459.690578,0
0,58,5460.401863,0
0,79,5461.809563,0
0,54,5463.020068,0
0,97,5464.055678,0
0,70,5465.476706,0
0,58,5466.097309,0
0,53,5467.319162,0
0,72,5468.134926,0
50,227,5471.810922,50
0,58,5472.485422,0
