#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
54,638,1664.826447,204,2,0,0
81,457,1669.079385,231,2,0,0
-150,83,1670.045183,0,1,0,0
-150,28,1670.280847,0,4,0,0
18,694,1677.210031,168,1,0,0
102,625,1683.249531,252,1,0,0
122,202,1685.408014,272,4,0,0
-44,203,1687.289921,106,3,0,0
-145,443,1692.341382,5,2,0,0
-149,220,1694.771119,1,4,0,0
60,400,1699.014542,210,4,0,0
82,541,1704.473796,232,2,0,0
-59,636,1711.036657,91,1,0,0
87,253,1713.672057,237,4,0,0
12,248,1716.240205,162,4,0,0
92,204,1718.159092,242,3,0,0
65,1534,1732.40694,215,1,0,0
76,1041,1742.639812,226,1,0,0
43,473,1747.087577,193,3,0,0
28,521,1752.138635,178,2,0,0
101,401,1756.338256,251,4,0,0
-7,341,1759.977559,143,1,0,0
147,287,1762.964064,297,4,0,0
125,686,1770.29922,275,3,0,0
34,1505,1784.482569,184,1,0,0
79,689,1791.453865,229,2,0,0
29,168,1793.165145,179,4,0,0
-12,242,1795.673961,138,3,0,0
250,512,1800.784251,400,3,0,0
243,351,1804.446201,393,4,0,0
155,817,1812.286413,305,3,0,0
70,331,1815.796506,220,4,0,0
50,547,1820.796101,200,1,0,0
140,415,1824.84739,290,4,0,0
38,936,1834.28929,188,1,0,0
161,193,1836.13692,311,4,0,0
27,486,1841.066171,177,2,0,0
117,555,1846.514807,267,3,0,0
22,259,1848.961961,172,2,0,0
67,735,1856.240894,217,2,0,0
48,340,1859.846072,198,3,0,0
-11,281,1862.602463,139,3,0,0
53,210,1864.564902,203,4,0,0
41,291,1867.691413,191,4,0,0
134,361,1871.297234,284,3,0,0
65,368,1874.739597,215,3,0,0
64,221,1877.071443,214,2,0,0
53,447,1881.716149,203,2,0,0
158,398,1885.447749,308,4,0,0
92,686,1892.032948,242,2,0,0
51,554,1897.19051,201,1,0,0
170,425,1901.760697,320,3,0,0
126,1471,1915.374477,276,1,0,0
-150,166,1917.399883,0,4,0,0
84,611,1923.327012,234,4,0,0
19,456,1927.96921,169,3,0,0
111,582,1933.527608,261,3,0,0
55,668,1940.258508,205,1,0,0
129,536,1945.405968,279,3,0,0
163,612,1951.622696,313,3,0,0
56,1395,1964.406876,206,1,0,0
199,758,1971.595181,349,2,0,0
-56,194,1973.744242,94,3,0,0
90,527,1978.865288,240,3,0,0
49,1291,1991.126803,199,1,0,0
22,313,1994.673261,172,4,0,0
76,2070,2014.145718,226,1,0,0
57,514,2019.13287,207,2,0,0
4,290,2021.863275,154,2,0,0
64,642,2027.842192,214,1,0,0
124,357,2031.548961,274,4,0,0
31,361,2035.180301,181,2,0,0
90,1360,2047.402657,240,1,0,0
77,983,2057.319056,227,1,0,0
84,808,2065.145503,234,3,0,0
43,293,2068.326836,193,4,0,0
88,481,2072.715965,238,2,0,0
91,2305,2093.782442,241,1,0,0
513,1140,2104.435562,613,1,1,0
104,581,2110.289525,254,1,0,0
86,1011,2119.513428,236,1,0,0
90,1468,2133.162433,240,1,0,0
101,448,2137.736173,251,3,0,0
76,572,2143.06395,226,1,0,0
100,583,2149.088069,250,4,0,0
135,934,2157.891657,285,2,0,0
34,356,2161.440944,184,3,0,0
18,252,2163.97403,168,2,0,0
98,199,2165.734577,248,4,0,0
41,442,2170.391304,191,2,0,0
102,567,2175.76933,252,2,0,0
73,216,2178.097126,223,4,0,0
-41,440,2182.280326,109,1,0,0
141,2635,2206.746699,291,1,0,0
-6,391,2210.67653,144,2,0,0
185,654,2216.99614,335,3,0,0
139,1238,2228.68524,289,2,0,0
116,362,2232.303013,266,4,0,0
81,689,2238.811878,231,2,0,0
148,382,2242.636027,298,3,0,0
74,209,2244.941816,224,4,0,0
144,271,2247.583738,294,3,0,0
52,423,2251.719317,202,2,0,0
82,471,2256.462629,232,3,0,0
5,199,2258.156408,155,1,0,0
79,349,2261.727575,229,2,0,0
166,1405,2274.917055,316,1,0,0
-66,115,2276.138982,84,4,0,0
135,930,2284.696447,285,1,0,0
