#{"t_start": 1595257146.9117842, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-167.0,1588,1176.595909,58,1,1,0,0,data/map1.bmp
-149.0,83,1177.647114,3,4,2,0,0,data/map1.bmp
-149.0,1120,1189.795467,51,4,0,0,0,data/map1.bmp
-81.0,2999,1220.942048,55,1,1,0,0,data/map1.bmp
-138.5,462,1225.860454,30,2,2,0,0,data/map1.bmp
-114.0,340,1229.057625,53,2,1,0,0,data/map2.bmp
-131.0,121,1230.426461,24,4,2,0,0,data/map1.bmp
-161.0,149,1232.033187,0,4,0,0,0,data/map1.bmp
-127.0,522,1237.983044,39,4,1,0,0,data/map1.bmp
-141.0,1500,1252.353126,72,1,1,0,0,data/map2.bmp
-135.0,166,1254.431886,18,2,2,0,0,data/map1.bmp
-143.0,150,1256.051748,15,4,1,0,0,data/map1.bmp
-88.5,475,1260.950183,90,2,2,0,0,data/map1.bmp
-115.5,348,1264.795598,59,4,0,0,0,data/map2.bmp
-119.5,1754,1283.260998,50,1,1,0,0,data/map1.bmp
-144.5,159,1284.821576,27,4,0,0,0,data/map2.bmp
-133.0,130,1286.259141,31,4,1,0,0,data/map2.bmp
-124.0,542,1292.087044,55,4,1,0,0,data/map1.bmp
-126.0,167,1293.974331,34,2,1,0,0,data/map2.bmp
-129.5,1405,1308.419195,50,1,1,0,0,data/map1.bmp
-129.5,116,1309.750642,27,4,0,0,0,data/map2.bmp
-76.5,121,1311.053901,88,2,1,0,0,data/map2.bmp
-133.5,45,1311.445954,20,4,2,0,0,data/map1.bmp
-152.5,59,1312.070901,1,4,1,0,0,data/map1.bmp
-119.0,300,1315.605655,48,4,0,0,0,data/map2.bmp
-45.0,447,1320.135726,122,2,1,0,0,data/map2.bmp
-145.5,98,1321.267641,8,4,1,0,0,data/map1.bmp
-134.5,391,1325.328667,51,2,1,0,0,data/map2.bmp
-140.0,50,1325.772629,15,4,2,0,0,data/map2.bmp
-136.5,335,1329.468801,50,4,0,0,0,data/map2.bmp
-113.5,585,1335.370245,67,2,1,0,0,data/map2.bmp
-138.0,83,1336.027061,17,4,2,0,0,data/map2.bmp
-130.0,981,1345.786855,68,1,1,0,0,data/map2.bmp
-117.0,154,1347.30598,35,2,2,0,0,data/map1.bmp
-124.0,159,1348.993055,37,4,0,0,0,data/map2.bmp
-129.0,130,1350.413899,34,4,0,0,0,data/map2.bmp
-125.0,131,1351.815131,35,4,1,0,0,data/map2.bmp
-95.5,610,1358.093395,60,1,1,0,0,data/map1.bmp
-124.5,158,1359.598838,32,4,2,0,0,data/map2.bmp
-141.0,88,1360.680079,11,4,1,0,0,data/map1.bmp
-149.0,676,1367.356141,53,2,1,0,0,data/map2.bmp
-104.0,1285,1380.661945,59,1,1,0,0,data/map1.bmp
-126.5,294,1384.029822,36,4,0,0,0,data/map2.bmp
-113.5,216,1386.258855,41,4,0,0,0,data/map2.bmp
-125.0,490,1391.732211,50,4,0,0,0,data/map1.bmp
-131.5,76,1392.650826,22,4,2,0,0,data/map1.bmp
-138.0,474,1397.373566,47,4,1,0,0,data/map1.bmp
-152.0,188,1399.495783,26,4,0,0,0,data/map2.bmp
-135.5,150,1401.030169,22,4,1,0,0,data/map1.bmp
-143.5,143,1402.567155,12,4,2,0,0,data/map1.bmp
-127.5,131,1403.945154,32,2,2,0,0,data/map1.bmp
-105.0,319,1407.528941,66,4,1,0,0,data/map2.bmp
-107.0,281,1410.631999,64,4,0,0,0,data/map1.bmp
-136.0,202,1412.881731,28,4,1,0,0,data/map1.bmp
-125.5,92,1413.601125,31,4,2,0,0,data/map2.bmp
-205.0,1554,1429.487652,61,1,1,0,0,data/map1.bmp
-140.0,1045,1440.606924,53,1,1,0,0,data/map1.bmp
-199.0,1034,1450.89277,39,1,1,0,0,data/map2.bmp
-113.0,381,1454.876126,58,4,0,0,0,data/map1.bmp
-146.5,73,1455.510352,8,4,1,0,0,data/map1.bmp
-61.0,532,1460.847692,115,4,1,0,0,data/map2.bmp
-127.0,78,1461.818147,25,2,2,0,0,data/map1.bmp
-129.0,1504,1476.890923,65,1,1,0,0,data/map1.bmp
-84.0,1190,1488.043612,83,1,1,0,0,data/map2.bmp
-149,45,1488.412845,1,1,1,0,0,data/map1.bmp
-253.5,347,1492.186807,27,1,1,0,0,data/map1.bmp
-128.0,239,1494.795517,41,4,0,0,0,data/map1.bmp
-146.0,277,1497.764827,27,4,1,0,0,data/map2.bmp
-145.0,952,1507.33297,65,1,1,0,0,data/map2.bmp
-162.5,681,1513.797821,83,2,1,0,0,data/map2.bmp
-128.5,236,1516.215427,55,4,2,0,0,data/map2.bmp
-125.5,393,1520.156563,78,4,0,0,0,data/map2.bmp
-131.0,444,1524.236214,72,1,1,0,0,data/map2.bmp
-152.5,1354,1538.111545,80,1,1,0,0,data/map1.bmp
-121.0,563,1543.905433,49,1,1,0,0,data/map1.bmp
-173.0,1730,1562.109635,53,1,1,0,0,data/map1.bmp
-111.0,139,1563.640901,46,4,2,0,0,data/map1.bmp
-153.5,88,1564.331792,15,4,2,0,0,data/map2.bmp
-109.0,561,1570.08511,60,1,1,0,0,data/map1.bmp
-130.5,608,1576.539426,60,2,2,0,0,data/map1.bmp
-140.0,156,1577.938116,40,2,1,0,0,data/map2.bmp
-125.5,113,1579.094372,38,4,1,0,0,data/map2.bmp
-129.0,368,1582.82089,66,2,1,0,0,data/map2.bmp
-127.0,387,1586.85554,53,4,0,0,0,data/map1.bmp
-139.0,354,1590.19857,54,1,1,0,0,data/map2.bmp
-109.5,1082,1601.331657,54,1,1,0,0,data/map1.bmp
-109.5,651,1607.986748,48,1,1,0,0,data/map1.bmp
-143.5,821,1616.107316,83,1,1,0,0,data/map2.bmp
-142.5,158,1617.850401,27,4,1,0,0,data/map2.bmp
-150.0,361,1621.272991,49,4,1,0,0,data/map2.bmp
-115.5,472,1626.539817,64,4,0,0,0,data/map1.bmp
-142.5,91,1627.589114,15,4,2,0,0,data/map2.bmp
-128.0,89,1628.39501,30,4,2,0,0,data/map1.bmp
-131.0,2857,1657.560604,61,1,1,0,0,data/map1.bmp
-107.0,442,1662.088882,52,4,0,0,0,data/map2.bmp
-113.0,229,1664.742282,44,4,0,0,0,data/map1.bmp
-114.0,961,1675.169745,60,1,1,0,0,data/map1.bmp
-115.0,696,1682.164477,50,1,1,0,0,data/map1.bmp
-132.5,814,1690.145334,49,1,1,0,0,data/map1.bmp
-134.5,104,1691.26376,27,4,0,0,0,data/map2.bmp
-141.0,161,1692.97505,27,4,1,0,0,data/map2.bmp
-129.5,78,1694.005737,27,4,0,0,0,data/map1.bmp
-116.0,222,1696.340138,55,4,0,0,0,data/map2.bmp
-141.0,590,1702.330113,58,4,0,0,0,data/map2.bmp
-114.0,458,1706.992312,57,2,1,0,0,data/map2.bmp
-177.5,1263,1719.516815,109,2,1,0,0,data/map2.bmp
-154.5,270,1722.285563,42,4,2,0,0,data/map2.bmp
-143.5,54,1722.733342,10,2,2,0,0,data/map1.bmp
-160.5,325,1726.37427,41,4,0,0,0,data/map2.bmp
-139.5,1047,1736.331859,85,1,1,0,0,data/map2.bmp
-147.5,91,1737.442158,4,4,2,0,0,data/map1.bmp
-156.5,961,1747.073976,77,1,1,0,0,data/map1.bmp
-146.5,375,1750.942644,54,4,0,0,0,data/map2.bmp
-145.0,55,1751.710715,12,4,2,0,0,data/map1.bmp
-142.5,103,1752.635957,18,4,1,0,0,data/map1.bmp
-128.5,91,1753.665187,27,4,2,0,0,data/map2.bmp
-143.0,60,1754.420239,13,2,2,0,0,data/map1.bmp
-143.5,49,1754.887522,17,4,1,0,0,data/map1.bmp
-140.5,455,1759.724923,70,4,1,0,0,data/map2.bmp
-129.0,408,1764.016967,54,2,2,0,0,data/map1.bmp
-175.5,2026,1784.402822,120,1,1,0,0,data/map1.bmp
-144.5,450,1789.17813,53,4,1,0,0,data/map1.bmp
-112.0,251,1791.837655,51,4,2,0,0,data/map2.bmp
-143.0,98,1792.870448,14,4,1,0,0,data/map1.bmp
-136.0,92,1794.021775,17,2,2,0,0,data/map1.bmp
-140.5,48,1794.419313,12,4,2,0,0,data/map1.bmp
-76.0,611,1800.50109,96,2,1,0,0,data/map2.bmp
-102.0,430,1804.684271,96,4,1,0,0,data/map2.bmp
-127.5,227,1807.212394,56,2,2,0,0,data/map1.bmp
-116.5,330,1810.410695,74,4,1,0,0,data/map2.bmp
-64.0,842,1818.537109,134,1,1,0,0,data/map2.bmp
-131.5,193,1820.414478,35,4,1,0,0,data/map1.bmp
-56.0,1125,1831.38646,145,1,1,0,0,data/map2.bmp
-134.0,36,1831.955404,19,4,2,0,0,data/map1.bmp
-106.5,241,1834.284627,51,4,2,0,0,data/map2.bmp
-73.5,444,1839.137797,123,4,0,0,0,data/map1.bmp
-85.0,645,1845.210915,113,1,1,0,0,data/map2.bmp
-133.5,49,1845.723974,18,4,2,0,0,data/map1.bmp
-124.0,925,1854.763973,122,2,1,0,0,data/map2.bmp
-79.5,1988,1873.610618,106,1,1,0,0,data/map2.bmp
-100.0,293,1876.463578,68,4,1,0,0,data/map2.bmp
-125.0,163,1878.404015,41,1,1,0,0,data/map1.bmp
-138.5,920,1887.964191,122,4,0,0,0,data/map1.bmp
-112.0,235,1890.535528,94,4,0,0,0,data/map1.bmp
-118.0,72,1891.183018,39,4,1,0,0,data/map1.bmp
-112.5,330,1894.792712,92,4,0,0,0,data/map1.bmp
-145.5,213,1896.773605,57,4,1,0,0,data/map1.bmp
-118.0,103,1897.815713,36,4,2,0,0,data/map2.bmp
-129.5,2000,1918.388426,134,1,1,0,0,data/map1.bmp
-32.5,343,1922.157423,149,4,0,0,0,data/map1.bmp
-123.5,394,1926.541371,85,4,1,0,0,data/map1.bmp
-97.5,143,1927.973429,61,2,1,0,0,data/map2.bmp
-116.5,108,1929.272316,48,2,2,0,0,data/map1.bmp
-93.5,341,1932.570792,89,4,1,0,0,data/map2.bmp
-88.0,237,1935.053849,87,2,2,0,0,data/map1.bmp
-116.5,246,1937.627065,66,4,1,0,0,data/map2.bmp
-63.0,222,1940.090804,96,4,2,0,0,data/map2.bmp
-90.5,322,1943.501516,102,4,0,0,0,data/map1.bmp
-12.5,602,1949.333726,172,2,1,0,0,data/map2.bmp
-94.0,182,1951.173197,73,2,2,0,0,data/map1.bmp
-64.5,749,1958.871698,168,4,0,0,0,data/map2.bmp
-131.0,164,1960.972168,59,4,1,0,0,data/map1.bmp
-118.0,346,1964.496699,86,4,0,0,0,data/map2.bmp
-42.5,444,1969.126187,148,4,1,0,0,data/map2.bmp
-94.5,509,1974.208528,122,4,0,0,0,data/map2.bmp
-29.5,86,1975.024634,137,4,2,0,0,data/map1.bmp
-93.5,130,1976.322086,87,2,2,0,0,data/map1.bmp
-159.0,391,1980.446602,121,2,2,0,0,data/map1.bmp
-115.5,817,1988.937413,164,1,1,0,0,data/map1.bmp
-87.5,457,1993.42341,133,2,1,0,0,data/map2.bmp
-139.0,255,1996.204476,63,4,0,0,0,data/map1.bmp
-112.0,287,1999.458308,75,4,0,0,0,data/map2.bmp
-101.0,244,2002.160023,69,4,2,0,0,data/map2.bmp
-101.0,592,2007.502759,96,1,1,0,0,data/map2.bmp
-70.0,691,2014.429088,135,1,1,0,0,data/map2.bmp
-114.0,90,2015.236687,45,4,2,0,0,data/map1.bmp
-93.5,235,2017.979529,98,2,2,0,0,data/map1.bmp
-153.5,973,2028.328918,140,4,0,0,0,data/map1.bmp
-42.5,209,2030.400075,120,4,1,0,0,data/map2.bmp
-104.5,251,2032.865068,67,1,1,0,0,data/map2.bmp
-71.0,1743,2049.459821,182,1,1,0,0,data/map2.bmp
-98.5,91,2050.446356,57,4,2,0,0,data/map1.bmp
-79.0,373,2054.477668,94,4,0,0,0,data/map1.bmp
-278.0,586,2060.335951,72,1,1,0,0,data/map2.bmp
-112.0,314,2063.714528,66,2,1,0,0,data/map2.bmp
-9.0,492,2068.368312,183,4,1,0,0,data/map2.bmp
-101.0,297,2071.818599,75,4,0,0,0,data/map1.bmp
-127.5,250,2074.490328,70,4,0,0,0,data/map1.bmp
-99.0,115,2075.721586,53,2,2,0,0,data/map1.bmp
-155.0,150,2077.313673,30,4,1,0,0,data/map2.bmp
-116.0,479,2082.172473,103,4,0,0,0,data/map2.bmp
