#{"t_start": 1595900860.7994876, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-159.0,629,970.62699,94,1,1,0,0,data/map2.bmp
-4.5,834,978.928241,218,1,1,0,0,data/map1.bmp
-88.0,1236,990.789882,113,1,1,0,0,data/map2.bmp
-157.0,262,993.539434,38,4,0,0,0,data/map2.bmp
-81.5,316,997.121889,91,4,1,0,0,data/map2.bmp
-56.5,2999,1024.526165,191,1,1,0,0,data/map2.bmp
-117.0,136,1026.106795,41,4,1,0,0,data/map1.bmp
-134.5,359,1029.659855,70,4,0,0,0,data/map2.bmp
-81.0,455,1034.41506,117,1,1,0,0,data/map1.bmp
-180.0,1201,1045.780475,122,1,1,0,0,data/map1.bmp
-126.0,319,1048.893176,63,4,1,0,0,data/map2.bmp
-91.0,352,1052.342036,87,4,0,0,0,data/map2.bmp
-141.5,56,1053.188477,13,4,2,0,0,data/map1.bmp
-136.0,65,1053.762266,20,2,2,0,0,data/map1.bmp
-120.0,169,1055.550329,39,4,0,0,0,data/map1.bmp
-145.0,115,1056.794193,6,4,1,0,0,data/map1.bmp
-102.5,230,1059.191843,77,4,1,0,0,data/map2.bmp
-91.5,254,1061.883352,70,4,0,0,0,data/map1.bmp
-143.0,55,1062.657029,10,4,2,0,0,data/map1.bmp
-121.5,370,1066.314441,78,4,0,0,0,data/map1.bmp
-102.5,668,1074.028358,105,4,0,0,0,data/map1.bmp
-26.0,259,1076.643571,144,4,2,0,0,data/map2.bmp
-59.5,327,1079.77903,116,4,1,0,0,data/map2.bmp
-130.5,422,1084.671806,55,1,1,0,0,data/map1.bmp
-17.5,159,1086.231351,138,2,2,0,0,data/map1.bmp
-111.5,1260,1098.503641,144,1,1,0,0,data/map2.bmp
-96.5,367,1102.012053,87,4,1,0,0,data/map2.bmp
-119.0,753,1110.046681,116,4,0,0,0,data/map1.bmp
-121.5,127,1111.445515,38,2,2,0,0,data/map1.bmp
-100.5,391,1115.253288,78,4,1,0,0,data/map2.bmp
-65.5,665,1122.030076,146,2,1,0,0,data/map2.bmp
-163.5,554,1127.553903,113,1,1,0,0,data/map2.bmp
-49.0,381,1131.481685,135,2,2,0,0,data/map1.bmp
-89.0,211,1133.832998,78,4,0,0,0,data/map1.bmp
-137.5,97,1134.720889,26,4,2,0,0,data/map1.bmp
-43.0,310,1138.024661,144,4,0,0,0,data/map2.bmp
-96.5,461,1142.211515,119,2,1,0,0,data/map2.bmp
-72.0,638,1149.095423,138,4,0,0,0,data/map1.bmp
-88.5,618,1155.282813,133,1,1,0,0,data/map1.bmp
-74.0,223,1157.467213,102,4,2,0,0,data/map2.bmp
-188.0,499,1162.712716,67,4,1,0,0,data/map2.bmp
-24.5,192,1164.601683,142,4,2,0,0,data/map2.bmp
-50.0,468,1169.441706,182,4,1,0,0,data/map2.bmp
-66.0,412,1173.385817,112,2,1,0,0,data/map2.bmp
-36.0,360,1177.073167,150,4,1,0,0,data/map2.bmp
-148.5,85,1178.072773,6,4,2,0,0,data/map1.bmp
-158.0,718,1185.658334,103,4,0,0,0,data/map1.bmp
-124.0,94,1186.846588,30,4,0,0,0,data/map1.bmp
-147.0,271,1189.644894,79,4,2,0,0,data/map2.bmp
0.0,597,1195.954584,192,4,0,0,0,data/map2.bmp
-127.5,155,1197.595945,27,4,1,0,0,data/map1.bmp
-43.5,453,1202.503456,153,4,0,0,0,data/map2.bmp
-68.0,243,1204.698033,93,1,1,0,0,data/map1.bmp
-19.0,360,1208.583051,143,4,2,0,0,data/map2.bmp
-28.0,621,1215.068909,147,4,1,0,0,data/map2.bmp
-139.0,66,1216.039781,16,4,2,0,0,data/map1.bmp
-131.5,116,1216.94997,38,4,2,0,0,data/map1.bmp
-45.5,115,1218.367607,128,4,2,0,0,data/map1.bmp
-34.0,1356,1231.209406,179,1,1,0,0,data/map2.bmp
-162.5,430,1235.732891,73,4,1,0,0,data/map1.bmp
-140.5,84,1236.824739,10,4,0,0,0,data/map1.bmp
-24.5,1131,1247.58363,164,1,1,0,0,data/map2.bmp
-81.0,301,1250.805893,78,4,1,0,0,data/map1.bmp
-101.5,428,1255.917364,83,4,0,0,0,data/map1.bmp
-66.5,791,1263.681425,158,1,1,0,0,data/map2.bmp
-55.5,476,1268.321892,186,4,0,0,0,data/map2.bmp
-123.0,139,1269.996694,32,4,1,0,0,data/map1.bmp
-96.5,180,1271.570215,79,4,2,0,0,data/map2.bmp
-131.5,63,1272.177761,23,4,2,0,0,data/map1.bmp
-49.0,516,1277.357432,123,2,1,0,0,data/map2.bmp
-140.5,86,1278.355292,20,2,2,0,0,data/map1.bmp
14.5,234,1280.787631,180,4,1,0,0,data/map2.bmp
-10.0,251,1283.290237,145,4,1,0,0,data/map2.bmp
-114.5,928,1293.038611,102,4,0,0,0,data/map1.bmp
-199.5,1019,1303.058385,136,2,1,0,0,data/map2.bmp
-120.0,157,1304.61222,38,4,2,0,0,data/map1.bmp
-65.0,203,1306.939454,89,4,1,0,0,data/map2.bmp
-89.0,154,1308.422157,67,4,2,0,0,data/map2.bmp
-90.5,1771,1325.959666,135,1,1,0,0,data/map1.bmp
