#{"t_start": 1608296931.5065482, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
766,376,1142.258335,766,1,1,1,0,data/map1.bmp
648.0,552,1148.996878,699,1,1,1,0,data/map2.bmp
704,439,1155.138402,804,4,1,1,0,data/map1.bmp
45.5,357,1159.528681,202,4,1,0,0,data/map2.bmp
1057.0,406,1165.073899,1060,4,0,1,0,data/map1.bmp
743.5,315,1169.453716,746,4,0,1,0,data/map2.bmp
862.5,388,1174.623712,914,2,2,1,0,data/map1.bmp
684,377,1179.601633,784,4,0,1,0,data/map2.bmp
754.5,274,1183.068788,755,2,1,1,0,data/map2.bmp
353.0,276,1186.832544,516,4,2,0,0,data/map1.bmp
740.5,309,1191.210564,748,4,0,1,0,data/map2.bmp
636.5,346,1195.604588,740,4,2,1,0,data/map2.bmp
240.0,316,1200.272108,391,4,0,0,0,data/map1.bmp
934,288,1204.108101,934,2,2,1,0,data/map1.bmp
1021.0,346,1208.927595,1022,2,2,1,0,data/map1.bmp
872,346,1213.224754,922,2,2,1,0,data/map1.bmp
616.5,460,1219.290796,717,2,1,1,0,data/map2.bmp
812,236,1222.378278,812,1,1,1,0,data/map2.bmp
272.0,294,1226.270617,429,2,2,0,0,data/map1.bmp
789.5,297,1230.579224,800,4,2,1,0,data/map2.bmp
1160.5,394,1235.988369,1213,4,2,1,0,data/map1.bmp
707,262,1239.313082,757,1,1,1,0,data/map2.bmp
694.5,317,1243.250432,796,4,1,1,0,data/map2.bmp
808.5,414,1248.633254,859,2,2,1,0,data/map1.bmp
88.5,212,1251.851283,252,4,2,0,0,data/map1.bmp
972,349,1256.75853,972,4,1,1,0,data/map1.bmp
853.5,274,1260.338296,855,4,0,1,0,data/map2.bmp
822.0,343,1265.201471,873,4,0,1,0,data/map1.bmp
328.0,360,1269.791045,482,4,2,0,0,data/map1.bmp
799.0,573,1277.543742,927,2,2,1,0,data/map1.bmp
797,314,1281.554563,847,4,2,1,0,data/map2.bmp
789.5,340,1286.219439,791,4,0,1,0,data/map2.bmp
830.5,300,1290.03196,881,1,1,1,0,data/map1.bmp
238.5,324,1294.69628,391,4,1,0,0,data/map1.bmp
764.5,384,1299.910383,815,4,1,1,0,data/map1.bmp
719.5,446,1305.340433,720,2,1,1,0,data/map2.bmp
934.0,271,1309.016417,937,2,2,1,0,data/map1.bmp
592.5,505,1315.571913,740,1,1,1,0,data/map1.bmp
55.5,243,1318.914536,206,4,2,0,0,data/map2.bmp
751.0,542,1326.159812,783,1,1,1,0,data/map1.bmp
751,293,1329.832648,801,4,0,1,0,data/map2.bmp
55.0,200,1332.210747,208,4,2,0,0,data/map2.bmp
838.0,348,1336.9801,890,4,0,1,0,data/map2.bmp
229.0,284,1340.897307,382,4,1,0,0,data/map1.bmp
164.5,91,1342.404943,325,4,2,0,0,data/map1.bmp
774.5,323,1347.126541,827,4,1,1,0,data/map1.bmp
738.0,343,1351.279358,841,2,1,1,0,data/map2.bmp
868,368,1356.316849,968,2,2,1,0,data/map1.bmp
779,312,1360.629336,829,1,1,1,0,data/map1.bmp
856.0,419,1366.075474,908,2,2,1,0,data/map1.bmp
754,279,1369.705053,754,4,0,1,0,data/map2.bmp
857,260,1373.077165,857,2,1,1,0,data/map2.bmp
785,281,1376.821369,785,1,1,1,0,data/map1.bmp
760,246,1380.133691,760,4,0,1,0,data/map2.bmp
816.0,320,1384.582393,827,1,1,1,0,data/map1.bmp
775.5,327,1388.892054,876,4,1,1,0,data/map1.bmp
740.5,321,1393.315557,795,4,2,1,0,data/map2.bmp
794.0,309,1397.228862,798,4,0,1,0,data/map2.bmp
682,386,1402.15787,732,1,1,1,0,data/map2.bmp
1062.0,359,1407.174366,1120,4,2,1,0,data/map1.bmp
132.5,355,1412.089364,288,4,0,0,0,data/map1.bmp
433.5,370,1417.287262,588,4,2,0,0,data/map1.bmp
1019.0,341,1421.609054,1023,2,2,1,0,data/map1.bmp
620.5,371,1426.594102,735,4,2,1,0,data/map2.bmp
865.0,362,1431.419136,969,2,2,1,0,data/map1.bmp
814.5,459,1437.439898,818,2,1,1,0,data/map2.bmp
852.0,275,1440.974995,854,2,1,1,0,data/map2.bmp
700.0,292,1444.725862,801,4,2,1,0,data/map2.bmp
932,299,1448.806219,932,4,1,1,0,data/map1.bmp
758,259,1451.798753,758,2,1,1,0,data/map2.bmp
755,272,1455.223252,755,1,1,1,0,data/map2.bmp
919.0,359,1460.287474,920,4,0,1,0,data/map1.bmp
727.5,341,1464.973795,841,4,0,1,0,data/map2.bmp
755,272,1468.59961,755,4,0,1,0,data/map2.bmp
462.5,272,1472.355588,614,4,2,0,0,data/map1.bmp
762,236,1475.583102,762,4,0,1,0,data/map2.bmp
647.0,282,1479.33061,753,4,2,1,0,data/map2.bmp
852.0,274,1482.908813,905,4,1,1,0,data/map2.bmp
966.0,361,1487.83646,1069,2,2,1,0,data/map1.bmp
316.5,248,1491.363813,474,4,2,0,0,data/map1.bmp
754.0,270,1494.818562,805,2,1,1,0,data/map2.bmp
756.5,264,1498.365996,757,4,0,1,0,data/map2.bmp
788,269,1501.932363,788,1,1,1,0,data/map1.bmp
653,282,1506.02132,753,4,2,1,0,data/map2.bmp
799.0,298,1509.675348,800,1,1,1,0,data/map2.bmp
905,272,1513.179706,905,4,1,1,0,data/map2.bmp
610.0,881,1524.513448,765,1,1,1,0,data/map1.bmp
873.0,316,1528.503761,878,1,1,1,0,data/map1.bmp
594.0,557,1536.039417,698,4,0,1,0,data/map2.bmp
1072,346,1540.369575,1122,2,2,1,0,data/map1.bmp
809,253,1543.631933,809,1,1,1,0,data/map2.bmp
201.0,324,1548.171054,355,4,1,0,0,data/map2.bmp
603.0,1438,1565.945827,604,1,1,1,0,data/map1.bmp
707.0,257,1569.212471,758,1,1,1,0,data/map2.bmp
759,250,1572.402701,759,1,1,1,0,data/map2.bmp
192.0,251,1575.801037,343,4,2,0,0,data/map2.bmp
