#{"t_start": 1588729871.6657398, "env_id": null}
r,l,t
129,169,11211.46122
130,124,11219.077175
138,445,11247.510599
26,180,11258.834743
130,334,11279.668939
83,38,11281.92972
129,143,11290.991095
129,153,11300.169085
130,274,11316.748683
95,82,11321.665148
86,45,11324.494064
135,280,11341.678703
3,12,11342.399806
136,325,11362.949869
128,145,11371.876206
156,797,11421.013148
24,69,11425.367563
130,518,11457.233218
75,499,11487.773103
93,85,11492.95567
129,950,11551.539327
6,11,11552.250446
88,761,11598.706903
131,163,11608.891558
2,6,11609.257655
78,279,11626.552179
86,43,11629.217571
140,484,11658.936681
126,441,11686.015835
137,273,11702.469178
121,135,11710.938231
127,282,11728.249312
80,287,11746.258718
137,323,11766.536373
137,219,11779.695851
134,175,11790.359537
132,395,11814.52613
130,185,11825.964025
129,194,11837.474382
7,15,11838.438725
91,40,11841.029147
138,214,11853.845409
9,26,11855.386423
132,127,11863.239167
132,249,11878.670494
126,113,11885.398316
123,115,11892.333686
138,325,11912.260797
173,774,11960.097151
165,643,11999.109791
8,17,12000.128082
96,104,12006.498234
142,596,12043.011543
137,177,12053.975889
2,11,12054.61593
131,131,12062.520162
96,53,12065.80445
136,527,12098.566765
129,125,12106.243861
90,44,12108.969133
5,22,12110.349162
132,126,12118.186353
82,229,12132.367555
136,206,12144.80327
134,145,12153.878992
149,271,12170.674626
167,432,12196.765966
132,124,12204.488688
144,482,12233.947233
131,127,12241.576845
124,94,12247.388523
1,18,12248.490015
142,461,12346.62055
130,123,12353.516349
107,149,12362.242555
91,51,12365.160079
12,21,12366.374043
140,615,12402.64789
134,199,12414.820088
84,72,12419.30283
137,209,12432.531261
131,194,12444.965384
132,230,12459.19548
92,57,12462.632188
9,16,12463.640957
134,284,12480.726536
125,434,12507.241766
139,220,12521.307583
7,10,12521.922159
133,259,12538.591212
82,42,12541.155751
79,84,12546.335216
144,368,12569.186161
2,7,12569.614923
92,80,12574.526927
201,405,12599.259356
141,263,12615.470189
100,92,12621.221509
6,14,12622.056805
107,155,12631.814449
95,59,12635.367145
140,719,12679.644166
110,245,12694.783177
132,792,12742.810627
2,11,12743.507146
96,62,12747.346057
128,149,12756.323262
94,69,12760.496679
138,155,12770.430362
135,523,12803.232463
121,223,12816.88447
78,74,12821.470974
104,128,12829.355375
2,11,12830.095417
5,12,12830.89129
83,71,12835.539817
102,87,12840.900356
136,177,12851.530462
144,231,12865.8349
89,121,12873.479104
115,140,12882.000727
116,278,12899.237056
141,250,12914.663162
135,382,12938.520804
136,203,12950.959461
2,9,12951.518484
129,331,12972.45668
129,155,12981.94132
132,152,12991.812732
9,16,12992.855678
133,212,13006.274154
2,9,13006.868613
7,12,13007.639027
168,332,13028.385526
124,97,13034.284673
101,156,13043.702449
44,680,13085.553309
100,106,13091.906035
93,60,13095.541473
120,263,13111.72921
8,26,13113.297858
145,198,13125.572998
91,51,13128.782974
81,41,13131.397212
147,244,13146.705202
82,48,13149.570585
35,228,13163.997828
145,353,13185.45206
7,16,13186.42086
84,36,13188.573662
138,429,13214.805475
121,359,13236.376166
128,432,13262.294888
79,37,13264.606046
132,190,13276.255516
8,15,13277.192703
117,142,13285.811209
145,182,13296.878756
143,191,13308.767353
91,62,13312.588397
146,439,13338.520972
6,13,13339.303792
145,308,13358.01227
93,99,13364.098317
139,269,13380.405226
56,248,13395.705867
147,521,13427.77231
140,414,13453.636567
128,156,13463.166668
91,48,13466.088011
132,121,13473.365855
97,174,13484.51249
14,52,13487.777971
138,150,13497.084945
118,137,13505.553266
132,137,13513.855567
127,121,13521.211179
89,46,13523.911649
135,114,13530.979265
124,111,13537.83507
5,9,13538.396879
12,56,13541.825354
11,17,13542.844563
138,279,13560.090005
10,15,13561.048823
98,51,13564.194646
139,162,13574.000577
113,205,13586.678719
91,51,13589.951219
132,220,13603.412174
10,13,13604.254405
1,3,13604.445884
1,11,13605.121361
9,16,13606.114321
92,55,13609.445212
139,202,13621.834401
2,15,13622.757812
138,326,13642.797331
148,266,13659.221878
138,229,13673.339375
90,96,13679.318262
139,227,13693.20717
145,207,13706.046337
102,287,13723.655662
132,354,13745.741819
141,1067,13811.656049
136,90,13817.055962
145,546,13850.17402
134,154,13859.587454
148,226,13873.425941
96,56,13876.832673
7,12,13877.565123
7,23,13878.9319
146,288,13896.460374
10,18,13897.556134
153,220,13910.973577
143,460,13938.692488
133,147,13947.641295
131,184,13958.87235
132,209,13972.098229
76,82,13977.14251
123,423,14003.991946
144,303,14022.955172
2,9,14023.49345
139,181,14034.321744
129,159,14044.244687
91,55,14047.556363
148,311,14066.232666
149,199,14078.677097
147,181,14089.61673
130,138,14098.058228
130,162,14108.007825
102,150,14117.182525
153,251,14132.49206
177,1090,14199.052194
85,245,14214.225819
129,320,14233.801445
84,52,14237.10427
141,105,14243.701098
95,550,14277.964475
135,158,14287.621788
142,209,14300.051147
3,12,14300.757884
131,112,14307.603412
165,711,14351.596588
3,10,14352.221416
135,167,14362.376664
8,65,14366.380351
76,42,14368.868263
144,184,14379.971771
134,249,14394.774962
137,148,14403.725535
144,364,14425.97871
148,385,14449.274744
136,172,14460.065004
136,141,14468.666409
162,474,14498.39263
134,271,14515.342444
131,276,14532.790691
138,271,14549.270404
131,508,14580.914658
147,831,14631.283946
124,141,14639.929928
130,318,14659.603946
149,198,14671.772001
135,145,14680.736362
147,522,14712.663402
51,303,14731.10539
76,180,14742.252849
137,160,14752.134039
159,1104,14819.952132
111,134,14828.19067
90,43,14830.903743
